workclass = State-gov | Count: 1298 | Precision: 0.9509 | Recall: 0.9320 | F-beta: 0.9413
workclass = Self-emp-not-inc | Count: 2541 | Precision: 0.9527 | Recall: 0.8895 | F-beta: 0.9200
workclass = Private | Count: 22696 | Precision: 0.9528 | Recall: 0.9275 | F-beta: 0.9400
workclass = Federal-gov | Count: 960 | Precision: 0.9622 | Recall: 0.9596 | F-beta: 0.9609
workclass = Local-gov | Count: 2093 | Precision: 0.9604 | Recall: 0.9433 | F-beta: 0.9518
workclass = ? | Count: 1836 | Precision: 0.9486 | Recall: 0.8691 | F-beta: 0.9071
workclass = Self-emp-inc | Count: 1116 | Precision: 0.9595 | Recall: 0.9534 | F-beta: 0.9565
workclass = Without-pay | Count: 14 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
workclass = Never-worked | Count: 7 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
education = Bachelors | Count: 5355 | Precision: 0.9511 | Recall: 0.9451 | F-beta: 0.9481
education = HS-grad | Count: 10501 | Precision: 0.9500 | Recall: 0.8842 | F-beta: 0.9159
education = 11th | Count: 1175 | Precision: 1.0000 | Recall: 0.8667 | F-beta: 0.9286
education = Masters | Count: 1723 | Precision: 0.9617 | Recall: 0.9687 | F-beta: 0.9652
education = 9th | Count: 514 | Precision: 1.0000 | Recall: 0.9259 | F-beta: 0.9615
education = Some-college | Count: 7291 | Precision: 0.9500 | Recall: 0.9041 | F-beta: 0.9265
education = Assoc-acdm | Count: 1067 | Precision: 0.9535 | Recall: 0.9283 | F-beta: 0.9407
education = Assoc-voc | Count: 1382 | Precision: 0.9484 | Recall: 0.9169 | F-beta: 0.9324
education = 7th-8th | Count: 646 | Precision: 0.9714 | Recall: 0.8500 | F-beta: 0.9067
education = Doctorate | Count: 413 | Precision: 0.9740 | Recall: 0.9804 | F-beta: 0.9772
education = Prof-school | Count: 576 | Precision: 0.9589 | Recall: 0.9929 | F-beta: 0.9756
education = 5th-6th | Count: 333 | Precision: 1.0000 | Recall: 0.8750 | F-beta: 0.9333
education = 10th | Count: 933 | Precision: 0.9455 | Recall: 0.8387 | F-beta: 0.8889
education = 1st-4th | Count: 168 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
education = Preschool | Count: 51 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
education = 12th | Count: 433 | Precision: 1.0000 | Recall: 0.9091 | F-beta: 0.9524
